event_time,user_id,ip,country,region,city,user_agent,browser_name,browser_version,os_name,os_version,screen_res,device_type,request_per_min_from_ip,is_vpn,is_proxy,label_is_same_device
1762492413,u3,119.64.224.237,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2532x1170,Desktop,10,0,0,1
1762397070,u1,238.193.218.61,US,CA,San Francisco,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1920x1080,Tablet,13,0,0,0
1762094349,u4,68.238.201.201,US,CA,San Francisco,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2400x1080,Desktop,17,0,1,0
1762242621,u1,149.189.139.16,SG,Central,Singapore,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2400x1080,Desktop,1,0,0,1
1762324830,u2,18.153.18.173,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2400x1080,Tablet,15,1,0,0
1762239722,u4,169.150.145.134,US,CA,San Francisco,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Tablet,7,0,0,0
1762466622,u1,3.118.160.145,SG,Central,Singapore,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2532x1170,Desktop,9,0,0,1
1762001854,u2,95.73.41.113,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2532x1170,Desktop,12,0,0,1
1762350598,u5,40.70.73.155,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2532x1170,Tablet,18,0,0,0
1762281339,u1,24.163.109.213,SG,Central,Singapore,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2532x1170,Tablet,16,0,0,0
1762415165,u4,144.3.29.20,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2532x1170,Desktop,7,0,0,1
1762309809,u1,231.92.54.175,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1366x768,Mobile,7,1,0,0
1762223138,u2,226.106.7.46,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,2400x1080,Tablet,9,0,0,0
1762088797,u1,220.121.57.52,US,CA,San Francisco,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2532x1170,Desktop,1,0,0,1
1762009197,u3,90.165.131.103,SG,Central,Singapore,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1366x768,Desktop,13,0,0,1
1762208980,u3,10.28.153.112,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1920x1080,Mobile,10,0,0,1
1762364853,u5,237.207.138.176,SG,Central,Singapore,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Mobile,12,1,0,0
1762247151,u1,185.231.77.130,SG,Central,Singapore,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Tablet,8,0,0,0
1761996906,u2,158.146.78.104,US,CA,San Francisco,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,2400x1080,Tablet,9,0,0,0
1762347377,u3,120.114.114.173,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,2532x1170,Desktop,12,0,0,1
1762362657,u2,173.80.58.207,US,CA,San Francisco,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,1920x1080,Mobile,2,0,0,1
1761967825,u1,117.107.227.162,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1920x1080,Desktop,9,0,0,1
1762028341,u1,200.109.57.46,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2400x1080,Mobile,10,1,0,0
1762107388,u5,253.144.153.82,US,CA,San Francisco,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Desktop,17,0,0,1
1762320592,u3,197.200.134.125,US,CA,San Francisco,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1366x768,Tablet,13,0,0,0
1762413302,u3,229.139.21.36,SG,Central,Singapore,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Tablet,5,0,0,0
1762550979,u1,53.214.108.100,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1366x768,Tablet,11,0,0,0
1762340208,u4,138.192.189.140,US,CA,San Francisco,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Mobile,15,0,0,1
1762011390,u2,216.120.236.33,US,CA,San Francisco,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2532x1170,Mobile,5,0,0,1
1762228205,u4,47.13.67.98,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Desktop,10,0,0,1
1762005838,u3,214.21.121.5,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2532x1170,Mobile,10,0,0,1
1762362415,u1,194.8.244.64,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1366x768,Tablet,5,1,0,0
1762451363,u3,197.95.43.156,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,1366x768,Desktop,7,0,0,1
1762491771,u4,102.242.184.51,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1920x1080,Tablet,10,1,0,0
1762499153,u3,137.110.170.95,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2532x1170,Tablet,7,0,0,0
1762024368,u4,182.40.112.46,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2400x1080,Mobile,8,1,0,0
1762084177,u1,72.226.116.63,SG,Central,Singapore,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2400x1080,Mobile,13,0,0,1
1762278216,u2,91.205.67.88,US,CA,San Francisco,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1920x1080,Mobile,4,0,0,1
1762553379,u4,166.183.126.115,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Desktop,10,0,0,1
1762211004,u5,95.122.142.136,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1366x768,Mobile,15,0,0,1
1762377316,u3,31.191.138.244,US,CA,San Francisco,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,2532x1170,Tablet,5,0,0,0
1762367912,u5,153.73.252.26,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2400x1080,Mobile,11,0,0,1
1762439046,u1,142.75.179.242,SG,Central,Singapore,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2532x1170,Desktop,7,1,1,0
1762070524,u3,48.248.14.65,US,CA,San Francisco,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1920x1080,Tablet,17,0,0,0
1762311212,u5,243.78.22.255,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2400x1080,Mobile,16,1,0,0
1762251245,u3,221.151.254.110,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1366x768,Tablet,13,0,0,0
1762078721,u1,41.1.105.116,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Tablet,11,0,0,0
1762294054,u4,19.176.60.237,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Mobile,17,0,0,1
1761974603,u1,43.203.79.153,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Tablet,10,0,0,0
1762487110,u3,129.139.127.113,SG,Central,Singapore,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Mobile,12,0,0,1
1762288857,u5,151.244.6.196,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2532x1170,Tablet,9,0,0,0
1762055848,u2,150.112.163.209,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2400x1080,Tablet,12,0,0,0
1761994641,u4,74.170.242.103,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2532x1170,Mobile,6,0,0,1
1762570253,u4,222.132.212.253,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Mobile,16,0,0,1
1762269439,u1,53.69.141.34,US,CA,San Francisco,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Desktop,3,0,0,1
1762557121,u2,182.41.80.142,US,CA,San Francisco,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Desktop,9,0,0,1
1762065522,u3,131.181.70.107,US,CA,San Francisco,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Desktop,7,0,0,1
1762498258,u5,131.192.226.35,US,CA,San Francisco,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2400x1080,Tablet,10,1,0,0
1762103221,u5,169.126.222.39,SG,Central,Singapore,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2532x1170,Tablet,9,0,0,0
1762321054,u3,223.49.252.179,US,CA,San Francisco,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,2532x1170,Tablet,10,0,0,0
1762044769,u2,127.247.10.33,US,CA,San Francisco,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2400x1080,Desktop,7,0,0,1
1762409600,u2,105.223.168.249,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2400x1080,Desktop,15,0,0,1
1762059809,u5,98.245.82.161,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2532x1170,Mobile,6,1,0,0
1762468234,u2,192.24.112.251,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Tablet,6,0,0,0
1762014491,u3,96.111.38.63,ID,Jawa Barat,Bandung,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1366x768,Tablet,9,0,1,0
1762421390,u5,175.62.128.234,US,CA,San Francisco,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,1366x768,Desktop,11,1,0,0
1762209108,u5,41.19.114.242,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2532x1170,Mobile,9,0,0,1
1762171570,u4,219.124.28.61,SG,Central,Singapore,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2532x1170,Mobile,10,0,0,1
1762271363,u1,234.156.191.128,SG,Central,Singapore,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,2532x1170,Desktop,17,0,0,1
1762530122,u2,161.25.232.161,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1366x768,Tablet,8,0,0,0
1762005849,u4,45.52.34.202,SG,Central,Singapore,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,1920x1080,Tablet,8,0,0,0
1762450695,u3,192.223.87.206,SG,Central,Singapore,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1366x768,Mobile,11,0,0,1
1762556865,u5,94.24.203.102,US,CA,San Francisco,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Desktop,15,0,0,1
1762181941,u5,98.211.164.241,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2400x1080,Mobile,3,0,0,1
1762254590,u1,163.211.119.233,ID,Jawa Barat,Bandung,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Safari,16.1,MacOS,13.2,2400x1080,Desktop,1,0,0,1
1762007801,u4,30.25.61.228,US,CA,San Francisco,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,1366x768,Desktop,1,0,0,1
1762058342,u2,227.107.168.26,ID,DKI Jakarta,Jakarta,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1",Safari,17.1,iOS,17.1,2400x1080,Mobile,6,0,0,1
1762186281,u2,219.93.26.252,US,CA,San Francisco,"Mozilla/5.0 (Linux; Android 13; SM-S918B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Mobile Safari/537.36",Chrome,121.0,Android,13,1920x1080,Tablet,2,0,0,0
1762549065,u2,165.164.153.249,SG,Central,Singapore,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0 Safari/537.36",Chrome,120.0,Windows,10,2400x1080,Mobile,10,0,0,1
